Start,End,Colour
2016-06-08 04:45:00,2016-06-08 06:00:00,Amber
2016-06-11 03:35:00,2016-06-11 07:45:00,Amber
2016-07-06 08:35:00,2016-07-06 10:50:00,Amber
2016-07-09 21:55:00,2016-07-09 23:10:00,Amber
2016-07-13 07:35:00,2016-07-13 09:15:00,Amber
2016-08-02 05:20:00,2016-08-02 10:45:00,Amber
2016-08-09 12:30:00,2016-08-09 13:30:00,Amber
2016-08-10 06:10:00,2016-08-10 06:55:00,Amber
2016-08-10 06:55:00,2016-08-10 08:35:00,Red
2016-08-10 08:35:00,2016-08-10 10:10:00,Amber
2016-08-21 02:20:00,2016-08-21 04:10:00,Amber
2016-08-28 00:05:00,2016-08-28 00:30:00,Amber
2016-08-28 00:30:00,2016-08-28 02:20:00,Red
2016-08-28 02:20:00,2016-08-28 03:30:00,Amber
2016-09-01 06:55:00,2016-09-01 07:45:00,Amber
2016-09-09 11:45:00,2016-09-09 13:20:00,Amber
2016-09-10 12:35:00,2016-09-10 13:55:00,Amber
2016-10-01 05:25:00,2016-10-01 05:55:00,Amber
2016-10-01 05:55:00,2016-10-01 07:00:00,Red
2016-10-01 07:00:00,2016-10-01 07:35:00,Amber
2016-10-18 15:25:00,2016-10-18 18:15:00,Amber
2016-10-19 13:00:00,2016-10-19 15:30:00,Amber
2016-10-19 15:30:00,2016-10-19 16:00:00,Red
2016-10-19 16:00:00,2016-10-19 17:15:00,Black
2016-10-19 17:15:00,2016-10-19 18:15:00,Red
2016-10-19 18:15:00,2016-10-19 19:30:00,Amber
2017-04-21 15:20:00,2017-04-21 17:00:00,Amber
2017-05-04 09:40:00,2017-05-04 12:10:00,Amber
2017-05-24 06:40:00,2017-05-24 09:15:00,Amber
2017-05-24 09:15:00,2017-05-24 11:30:00,Red
2017-05-24 11:30:00,2017-05-24 12:30:00,Black
2017-05-24 12:30:00,2017-05-24 15:00:00,Amber
2017-06-13 02:50:00,2017-06-13 08:45:00,Amber
2017-06-13 08:45:00,2017-06-13 11:50:00,Red
2017-06-13 11:50:00,2017-06-13 12:30:00,Amber
2017-06-17 01:50:00,2017-06-17 02:25:00,Amber
2017-06-17 02:25:00,2017-06-17 04:05:00,Red
2017-06-17 20:40:00,2017-06-17 22:15:00,Amber
2017-06-21 01:20:00,2017-06-21 02:45:00,Amber
2017-07-17 15:15:00,2017-07-17 19:15:00,Amber
2017-07-17 20:15:00,2017-07-17 20:45:00,Amber
2017-07-17 20:45:00,2017-07-17 22:30:00,Red
2017-07-17 22:30:00,2017-07-17 23:25:00,Amber
2017-07-18 08:20:00,2017-07-18 11:30:00,Amber
2017-07-18 16:20:00,2017-07-18 20:00:00,Amber
2017-07-18 22:45:00,2017-07-19 01:20:00,Amber
2017-07-23 22:30:00,2017-07-24 00:45:00,Amber
2017-08-03 05:05:00,2017-08-03 05:30:00,Amber
2017-08-03 05:30:00,2017-08-03 07:05:00,Red
2017-08-03 07:05:00,2017-08-03 07:45:00,Amber
